	Stu_00ea0b50a27238a1a209396453fb1c4d	Stu_01476ce43b36f563415487142e1c046c	Stu_0253cdb749f39471861340d0346915f1	Stu_02e531baf3492ba41607c21175598a09	Stu_038d615d7f4ebc8b27efd2c8d226d034	Stu_0391448da5eac00f9b6dd455081aa08e	Stu_04dd6ee86838195f6ceaf45c5bec197e	Stu_04ea566d35db87559bff32360ac139ac	Stu_0657f86f4ff3fe084bfff62f488150c4	Stu_07162763f5295ac2ac205a59c82f218e	Stu_0750480f9d470c37e313dc36329047f7	Stu_08068adc1a7ce33ac09ccb426ab6f293	Stu_0832d131f43ba6e40d91ab220cc1bb79	Stu_09266f06981ef59c54b75202604eebbf	Stu_09f76d2083c142e10771e26934a20c26	Stu_0b5df9ca7199154ee2f1d10fb15b3c50	Stu_0b8e52119f6b5f2b2dd5c1ad16a750f8
2-2-characteristic	-12.6466213246043	-13.6455406281709	-12.761454233506	-12.7069888715206	-13.2121506917518	-12.0029121761292	-13.4738832591045	11.7547231729892	-12.6245763100356	-11.986250876121	12.2813259029956	-11.8323174208518	-12.7940724326383	12.3706090355057	12.71000015585	12.3110432451058	-12.7004133548625
2-3-sample	-12.5439695576678	-14.7411226848089	-12.5966878667262	12.0862405719993	-12.6491907594583	13.0844167938005	-12.5413256805042	-12.949229949749	-13.7810295588178	-12.2580472739565	12.6220778974262	12.459696717144	11.6975649946749	13.1055294395839	13.1584274515779	12.6019247708604	-12.3720736753598
3-0-samples	-12.5474409838496	-14.2574738633552	12.0640116564238	-12.9168476508145	-12.7369460086754	-12.0417374400929	-12.6935530097794	12.2932853592572	-12.5572236249337	12.4216348103727	-12.0056759933879	12.6759980730435	-12.664878443744	12.5991369638831	12.5620914756041	12.5483448975179	-12.636054037185
3-1-variable|random	-12.8231909897097	-12.0460564977838	-13.2529091795185	-12.5099860304406	11.7211790110388	-12.4171830058573	-12.7308676889517	-13.004971807828	-12.6025057389674	12.9059048069948	12.4407052287558	-12.1986261757151	-12.2623559095665	12.4651763141394	-12.1556756871959	-12.2277865245338	11.9954603856603
3-2-represent|describe|sample	-13.1264552035157	-12.3179851314218	-12.7783523393564	-12.46880563038	11.8391338128153	12.6650651252749	11.9859882163671	-12.6010486725329	-12.9912318157229	13.5170876136086	13.9962715039395	13.1934100009386	-12.1246542061077	13.0448272207599	12.6108636789657	12.9762625941968	11.8375862152613
3-3-population	11.6992240877034	-12.9499665156023	-13.0585779481722	12.2058215366689	-13.148104615841	12.416184699472	-13.0682068418446	-13.4578346953556	-12.2126462429648	12.4969828032436	12.8861978576503	-12.1233903443377	-12.7434796362434	12.7003286929704	12.7062101925899	-12.0825232200376	-12.8220832699667
4-0-Standard deviation	-12.9853215136247	-14.9679474299155	-13.0370541108885	-12.5977570124533	-13.6221097024925	12.7474036978523	-12.6728088446464	-12.7560580212105	-13.1503729564446	12.4928112384689	12.8157087293648	-12.100940896686	-13.5659079345471	-11.7009534503462	12.3518128913779	12.4863547084244	-12.9123232957581
4-1-square root	-13.1479383329965	-14.3639733608621	-12.7509837054798	-12.4648857727262	-12.9505806907746	12.3094133461874	-12.7192986467044	-13.9453630297326	-12.8638720296372	12.5598885399669	12.9092867999303	-12.2530100579806	-12.4876026099451	12.8361675941163	12.5864925867664	-12.0013829482719	11.6711092859799
4-2-variance	-12.963793845228	-12.8954624549016	-13.2925125219171	-12.6478709834828	-13.1395988255681	12.6716416755288	11.6823676041879	-12.8601005947725	-13.1719157031179	-11.9921457328684	12.6930892590612	12.8376880815117	-12.6136615000204	12.471644267263	12.8495516128158	-12.0496173613068	-12.966040295272
4-3-root mean squared error	-12.5046374416754	-13.297663849683	-12.7495525137376	-12.8300078077848	-13.6586133766286	-12.2742103295571	-12.6256961218387	-12.4988788122035	-13.7130472003487	-12.7696846973764	-12.2727345227214	12.0732456195679	-12.8805676441928	-11.908795866504	12.1549290397984	-12.4225656490722	-12.9155995809782
5-0-Standard deviation	11.8258800977744	-12.5814496968756	12.0419068246747	-12.7457383659652	-12.7064506997963	-12.226126520712	-13.0329235974567	12.3880026915597	-12.106309602191	12.4469917254876	-11.8794727573406	13.0916592444702	-12.5706889406305	12.514979553627	12.6064187444963	12.4886404786955	-12.7166567140283
5-1-individual|single	-12.5421389887359	-13.117380788414	-12.7124747002551	-13.2318970873672	-12.8991884123339	12.5171863766803	-12.4696493892419	11.8660866091434	-12.6857930125975	-12.0854362772051	12.3032135720058	12.619598372398	-13.0490066355227	-12.086924784925	-12.0720250174322	12.6247724078656	-13.6553391495306
5-2-standard error	-12.7277391955257	-12.5712140324004	11.5958016130779	-12.730048383982	11.621267303873	12.6737592824041	-12.5909956413674	-12.2824246825614	-12.4387790329785	13.66238411835	12.9595647574805	13.288693511826	-12.5075607784716	12.7373869371694	-11.8511263139682	12.8332087007484	-12.4396054957728
5-3-multiple|many	-12.7257699446308	-16.0683510558279	-13.0131828480108	-12.9237125572967	-12.9619964496456	12.5586193019793	-12.6127842842936	-13.2284081672706	-13.5588005090453	12.5144650136139	12.7418095350561	12.3722279594108	-13.7420278899958	12.6267171867486	-11.9599018313623	-11.8688566083451	-13.0906612311738
6-0-density	-12.852068421924	-13.8616771821862	-12.7753833234696	-12.8243978117522	-12.9467910677618	12.4279345385752	-12.4449495144949	-12.4150364684138	-13.3836941098448	12.3060065789348	-11.7675247791302	12.3344776327206	-13.4965459830419	-11.9347173697022	-12.3217239668394	12.4511805679861	-13.2393200050533
6-1-range|set	-12.4148651808119	-12.7898630213335	-12.6720911682117	11.9764828676634	11.9153903372556	-11.8931333588317	-12.3429611835871	-12.7832675883611	-13.5160294387341	12.7116433054518	12.7358189594931	12.3127232307058	-12.1643842011807	13.9005666975447	12.5154109088719	12.7389762110208	11.9808214317973
6-2-probability|likelihood|chance	-12.6335945512914	-12.0860584345764	12.067642611884	12.1990891829029	12.0276919385195	13.0862594955339	12.2258739343273	12.2512973531766	-12.0478571884932	13.0556450827186	12.5704938885782	13.343842576796	12.1856475298157	12.813808516224	12.9594303021188	13.1807069684149	-11.944047093275
6-3-observation	-12.8118972378037	-13.2934183413417	-13.6750463391326	-12.7471328203243	-12.8136222619277	-11.9021132539472	-13.5129520603939	-12.7800951253101	-13.5184596362263	12.8063386744316	12.5372460393565	-12.004822328098	-13.5108409635639	12.4197790742172	-11.9631784036732	12.2475459527371	-12.5390825381969
7-0-mean|sample mean|average	12.2164729948921	11.2682629419128	12.0461019476957	-12.3656260594498	-12.209863293298	12.5460172767349	12.2711339938285	-12.3233838736293	-11.9640699318542	12.4615760166896	13.2611485036985	13.1300224052671	-12.444828214959	12.3342184889361	12.4143903029431	12.7243743102775	-12.2045419743567
7-1-sum	11.6231178104708	-13.3374835333621	-13.0542383088772	-12.4102245718612	-13.3846917343132	12.5311157631161	-13.5838509689164	-12.8737239223089	-12.4517659404103	12.7536439089522	13.8203407960025	-11.7309397798701	-13.1911252564964	12.7114314009787	12.7319237976408	12.5016733599476	-12.862727967395
7-2-divided	13.3042429758293	11.5029223073927	-11.8108653607187	-12.3465641605538	12.2094386105293	12.1963414225413	-11.6654308314329	12.3004311032502	12.3878897059147	-12.5303833906351	12.2337758922349	12.248173962999	-12.6373905162122	-12.4319418230023	-12.8454502154273	12.5813871694965	-12.3883314842767
7-3-count	-12.6793831097574	-14.0858812040922	-13.0010305136435	12.0399552995729	-13.3035060163524	12.6062544499022	-12.4514951983834	-13.2441185119092	-12.7045830873325	12.264567311294	12.4327814908553	-12.5980641211647	-12.9539769889609	-11.7041761568832	12.3234388115022	-12.0897289572437	-12.8453672356332
8-0-normal	-12.1340332203334	-12.4835977113004	11.9294670955268	12.1162646405591	11.8316086482752	13.8198834000951	-12.3717133618606	-12.0051616578125	11.6298245880965	12.8730737212987	12.6990046577345	12.3711450364205	-12.3959088561986	13.7612932339238	12.7353897030425	12.7716240001292	-12.4023991601348
8-1-68	-13.1331560887224	-12.7949433243975	-12.6069983361156	-12.274706596	-12.6838999506757	12.4390143835651	-12.8792537607199	-13.1505057465813	-13.0186517908135	-12.0425932198196	12.7336790092397	-11.9407684205284	12.0052349022333	12.676792942812	12.9920850635987	12.3480693684604	12.0043925037942
8-2-range	11.8544695767653	-12.6147230019653	11.9594131960855	-12.8813860016236	-12.8562057444059	12.5589653543719	-12.5030910933557	12.2353477984433	-12.0556606687383	12.5151819285068	12.6412729159699	13.0122651145597	-12.7469813248018	-11.7141442211498	12.5053658208207	12.9564231819518	-13.1568809299861
8-3-1	-12.8535180679198	-13.40907339144	-13.0207544605988	11.9650084579125	-12.5135946293768	13.6655283359535	11.8292406254267	-12.7365447723974	-13.5465685387351	12.8742958315417	13.2200229961165	12.7060701931966	-12.6911861898499	12.9517478730414	12.9265722116288	12.7760840591926	-12.759185211448
9-0-normal	-12.4736444283078	-12.8293785613461	11.8432354962589	-12.4308005544093	-12.7336518040913	13.3787550796715	-13.1123458949516	-12.1181421863682	11.5946147048287	12.8236968398456	12.6807401052363	-12.0679325413599	-12.8202167404127	12.8418304896196	12.820303678873	12.3848776697804	-12.6006705227466
9-1-95	-12.5200169245647	-13.0623985596935	-12.4612761510803	-12.5959870350195	-12.384315743367	-11.9420242110705	-12.6338002067628	-12.8230830788297	-15.6639525318176	-12.2945521174214	12.4585518400964	12.4275151722751	11.8906613201905	13.0326201512112	12.7885043170478	12.4179429968234	12.0995053671096
9-2-range	-12.77534446603	-13.1785348513976	-12.4624788469267	-12.5566774976546	11.7378330028754	12.7605592989428	12.1215486021263	11.9384740871321	-12.4395764880566	13.1728298096898	13.1650922946505	13.7656341810939	-12.594736802806	12.6584878357953	12.516858247849	13.3936204820904	-12.5555469756895
9-3-2	-12.4799501590991	-18.2143211761799	-12.4204224818583	-13.1458015700339	-12.7048981845882	-11.7878145448903	-12.6187761746289	11.791141602228	-13.8082490186374	12.4727441206436	12.5394024620577	12.5866648689528	-13.7721202833101	12.9798292249627	12.5680218151799	12.8782039250606	-12.8463334927598
